,features,importance
2,BloodPressure,0.2101436840833726
6,Age,0.15901010570337418
1,Glucose,0.15254428248691854
0,Pregnancies,0.13273257132410543
4,BMI,0.13181387894198196
5,DiabetesPedigreeFunction,0.11601038169526952
3,Insulin,0.09774509576497789
